id	SNR	n_genes	n_samples	genes	samples	direction	genes_up	genes_down	gene_indexes	sample_indexes
100	1.6885121470144582	3	20	ENSG00000123416|TUBA1B ENSG00000161960|EIF4A1 ENSG00000255717|SNHG1	healthy-6620-p_6 healthy-6658-p_22 healthy-6667-p_49 healthy-6688-p_56 healthy-6743-p_63 pah-6608-p_16 pah-6634-p_28 pah-6637-p_41 pah-6660-p_13 pah-6691-p_23 pah-6744-p_2 pah-6751-p_24 pah-6803-p_50 pah-6824-p_34 ph-lung-6662-p_55 ph-lung-6678-p_42 ph-lung-6689-p_29 ph-lung-6749-p_57 ph-lung-6755-p_1 ph-lung-6976-p_12	UP	ENSG00000123416|TUBA1B ENSG00000161960|EIF4A1 ENSG00000255717|SNHG1		2193 2664 2769	0 2 8 9 10 12 13 14 16 22 23 24 25 26 31 35 36 38 40 48
101	1.6878849242804725	2	24	ENSG00000119185|ITGB1BP1 ENSG00000143198|MGST3	healthy-6620-p_6 healthy-6655-p_27 healthy-6658-p_22 healthy-6667-p_49 healthy-6743-p_63 healthy-6884-p_64 healthy-6935-p_54 healthy-6960-p_32 pah-6608-p_16 pah-6634-p_28 pah-6637-p_41 pah-6691-p_23 pah-6712-p_17 pah-6803-p_50 pah-6824-p_34 pah-6858-p_7 pah-6872-p_4 ph-lung-6649-p_33 ph-lung-6662-p_55 ph-lung-6678-p_42 ph-lung-6689-p_29 ph-lung-6749-p_57 ph-lung-6754-p_20 ph-lung-6825-p_52	DOWN		ENSG00000119185|ITGB1BP1 ENSG00000143198|MGST3	4449 6742	0 1 2 5 6 8 10 11 12 13 15 16 17 22 23 26 27 31 34 35 36 38 39 42
102	1.6867147738954145	22	7	ENSG00000085840|ORC1 ENSG00000094804|CDC6 ENSG00000112984|KIF20A ENSG00000116117|PARD3B ENSG00000118193|KIF14 ENSG00000118777|ABCG2 ENSG00000135476|ESPL1 ENSG00000135525|MAP7 ENSG00000138160|KIF11 ENSG00000142945|KIF2C ENSG00000144354|CDCA7 ENSG00000148773|MKI67 ENSG00000156970|BUB1B ENSG00000164237|CMBL ENSG00000166803|PCLAF ENSG00000169607|CKAP2L ENSG00000184661|CDCA2 ENSG00000186185|KIF18B ENSG00000211650|IGLV5-45 ENSG00000211658|IGLV3-27 ENSG00000234286|ENSG00000234286 ENSG00000276043|UHRF1	pah-6608-p_16 pah-6660-p_13 pah-6824-p_34 pah-6922-p_35 ph-lung-6649-p_33 ph-lung-6822-p_18 ph-lung-6825-p_52	UP	ENSG00000085840|ORC1 ENSG00000094804|CDC6 ENSG00000112984|KIF20A ENSG00000116117|PARD3B ENSG00000118193|KIF14 ENSG00000118777|ABCG2 ENSG00000135476|ESPL1 ENSG00000135525|MAP7 ENSG00000138160|KIF11 ENSG00000142945|KIF2C ENSG00000144354|CDCA7 ENSG00000148773|MKI67 ENSG00000156970|BUB1B ENSG00000164237|CMBL ENSG00000166803|PCLAF ENSG00000169607|CKAP2L ENSG00000184661|CDCA2 ENSG00000186185|KIF18B ENSG00000211650|IGLV5-45 ENSG00000211658|IGLV3-27 ENSG00000234286|ENSG00000234286 ENSG00000276043|UHRF1		8833 10409 11730 11962 12848 12849 13056 13294 13374 13861 14431 14568 15204 15289 15346 15680 15689 15747 15865 15910 15990 16105	12 14 20 26 34 41 42
103	1.6795508940701913	2	11	ENSG00000211698|TRGV4 ENSG00000229769|TRBV10-2	healthy-6688-p_56 healthy-6968-p_15 pah-6637-p_41 pah-6660-p_13 pah-6744-p_2 ph-lung-6649-p_33 ph-lung-6747-p_46 ph-lung-6749-p_57 ph-lung-6825-p_52 ph-lung-6898-p_8 ph-lung-6976-p_12	UP	ENSG00000211698|TRGV4 ENSG00000229769|TRBV10-2		13412 15980	7 9 13 14 24 32 34 38 42 44 48
104	1.6780950148138736	3	18	ENSG00000196214|ZNF766 ENSG00000229721|ENSG00000229721 ENSG00000267152|ENSG00000267152	healthy-6667-p_49 healthy-6743-p_63 healthy-6818-p_59 healthy-6819-p_19 healthy-6935-p_54 healthy-6968-p_15 pah-6660-p_13 pah-6744-p_2 pah-6904-p_25 pah-6942-p_9 pah-6958-p_40 ph-lung-6748-p_43 ph-lung-6822-p_18 ph-lung-6898-p_8 ph-lung-6912-p_65 ph-lung-6949-p_66 ph-lung-6952-p_36 ph-lung-6980-p_26	UP	ENSG00000196214|ZNF766 ENSG00000229721|ENSG00000229721 ENSG00000267152|ENSG00000267152		6556 12500 15834	2 3 4 5 7 10 14 21 24 29 30 33 37 41 44 46 47 49
105	1.6761466159736496	2	16	ENSG00000125746|EML2 ENSG00000142178|SIK1	healthy-6655-p_27 healthy-6688-p_56 healthy-6968-p_15 pah-6608-p_16 pah-6637-p_41 pah-6660-p_13 pah-6712-p_17 pah-6744-p_2 pah-6751-p_24 pah-6803-p_50 pah-6904-p_25 pah-6942-p_9 ph-lung-6689-p_29 ph-lung-6952-p_36 ph-lung-6976-p_12 ph-lung-6980-p_26	UP	ENSG00000125746|EML2 ENSG00000142178|SIK1		2455 15183	1 7 9 12 13 14 15 16 24 25 29 30 31 47 48 49
106	1.66721454124793	6	11	ENSG00000106772|PRUNE2 ENSG00000126803|HSPA2 ENSG00000129925|PGAP6 ENSG00000205837|LINC00487 ENSG00000225964|NRIR ENSG00000287252|ENSG00000287252	healthy-6667-p_49 healthy-6688-p_56 healthy-6960-p_32 pah-6608-p_16 pah-6744-p_2 pah-6824-p_34 pah-6922-p_35 ph-lung-6678-p_42 ph-lung-6754-p_20 ph-lung-6885-p_58 ph-lung-6912-p_65	UP	ENSG00000106772|PRUNE2 ENSG00000126803|HSPA2 ENSG00000129925|PGAP6 ENSG00000205837|LINC00487 ENSG00000225964|NRIR ENSG00000287252|ENSG00000287252		1362 11947 12747 13009 13507 15946	2 6 9 12 20 24 26 33 36 39 43
107	1.658784792305996	4	22	ENSG00000087077|TRIP6 ENSG00000142347|MYO1F ENSG00000172932|ANKRD13D ENSG00000269981|ENSG00000269981	healthy-6655-p_27 healthy-6688-p_56 healthy-6818-p_59 healthy-6819-p_19 healthy-6968-p_15 pah-6634-p_28 pah-6691-p_23 pah-6744-p_2 pah-6751-p_24 pah-6824-p_34 pah-6863-p_3 pah-6875-p_60 pah-6890-p_47 pah-6904-p_25 pah-6958-p_40 ph-lung-6689-p_29 ph-lung-6748-p_43 ph-lung-6822-p_18 ph-lung-6885-p_58 ph-lung-6932-p_21 ph-lung-6952-p_36 ph-lung-6976-p_12	UP	ENSG00000087077|TRIP6 ENSG00000142347|MYO1F ENSG00000172932|ANKRD13D ENSG00000269981|ENSG00000269981		20 203 8674 11483	1 3 4 7 9 18 19 21 22 23 24 25 26 28 29 31 37 41 43 45 47 48
108	1.6468749051321514	54	15	ENSG00000005961|ITGA2B ENSG00000011105|TSPAN9 ENSG00000013016|EHD3 ENSG00000049323|LTBP1 ENSG00000081377|CDC14B ENSG00000082781|ITGB5 ENSG00000095303|PTGS1 ENSG00000101856|PGRMC1 ENSG00000103740|ACSBG1 ENSG00000109265|CRACD ENSG00000109272|PF4V1 ENSG00000113140|SPARC ENSG00000113924|HGD ENSG00000115290|GRB14 ENSG00000117400|MPL ENSG00000119862|LGALSL ENSG00000122643|NT5C3A ENSG00000124657|OR2B6 ENSG00000127824|TUBA4A ENSG00000132681|ATP1A4 ENSG00000134317|GRHL1 ENSG00000137225|CAPN11 ENSG00000140682|TGFB1I1 ENSG00000146859|TMEM140 ENSG00000151023|ENKUR ENSG00000151789|ZNF385D ENSG00000153162|BMP6 ENSG00000156011|PSD3 ENSG00000161911|TREML1 ENSG00000162627|SNX7 ENSG00000163735|CXCL5 ENSG00000163898|LIPH ENSG00000164181|ELOVL7 ENSG00000166091|CMTM5 ENSG00000174175|SELP ENSG00000178033|CALHM5 ENSG00000180190|TDRP ENSG00000182795|C1orf116 ENSG00000184113|CLDN5 ENSG00000185052|SLC24A3 ENSG00000185614|INKA1 ENSG00000187800|PEAR1 ENSG00000204420|MPIG6B ENSG00000204710|SPDYC ENSG00000224846|NQO2-AS1 ENSG00000236279|CLEC2L ENSG00000249307|LINC01088 ENSG00000250334|LINC00989 ENSG00000251600|ENSG00000251600 ENSG00000253549|CA3-AS1 ENSG00000255874|PRECSIT ENSG00000259330|INAFM2 ENSG00000260912|ENSG00000260912 ENSG00000288882|ENSG00000288882	healthy-6620-p_6 healthy-6655-p_27 healthy-6667-p_49 healthy-6818-p_59 pah-6608-p_16 pah-6634-p_28 pah-6824-p_34 pah-6858-p_7 ph-lung-6649-p_33 ph-lung-6662-p_55 ph-lung-6678-p_42 ph-lung-6755-p_1 ph-lung-6885-p_58 ph-lung-6976-p_12 ph-lung-6980-p_26	UP	ENSG00000005961|ITGA2B ENSG00000011105|TSPAN9 ENSG00000013016|EHD3 ENSG00000049323|LTBP1 ENSG00000081377|CDC14B ENSG00000082781|ITGB5 ENSG00000095303|PTGS1 ENSG00000101856|PGRMC1 ENSG00000103740|ACSBG1 ENSG00000109265|CRACD ENSG00000109272|PF4V1 ENSG00000113140|SPARC ENSG00000113924|HGD ENSG00000115290|GRB14 ENSG00000117400|MPL ENSG00000119862|LGALSL ENSG00000122643|NT5C3A ENSG00000124657|OR2B6 ENSG00000127824|TUBA4A ENSG00000132681|ATP1A4 ENSG00000134317|GRHL1 ENSG00000137225|CAPN11 ENSG00000140682|TGFB1I1 ENSG00000146859|TMEM140 ENSG00000151023|ENKUR ENSG00000151789|ZNF385D ENSG00000153162|BMP6 ENSG00000156011|PSD3 ENSG00000161911|TREML1 ENSG00000162627|SNX7 ENSG00000163735|CXCL5 ENSG00000163898|LIPH ENSG00000164181|ELOVL7 ENSG00000166091|CMTM5 ENSG00000174175|SELP ENSG00000178033|CALHM5 ENSG00000180190|TDRP ENSG00000182795|C1orf116 ENSG00000184113|CLDN5 ENSG00000185052|SLC24A3 ENSG00000185614|INKA1 ENSG00000187800|PEAR1 ENSG00000204420|MPIG6B ENSG00000204710|SPDYC ENSG00000224846|NQO2-AS1 ENSG00000236279|CLEC2L ENSG00000249307|LINC01088 ENSG00000250334|LINC00989 ENSG00000251600|ENSG00000251600 ENSG00000253549|CA3-AS1 ENSG00000255874|PRECSIT ENSG00000259330|INAFM2 ENSG00000260912|ENSG00000260912 ENSG00000288882|ENSG00000288882		1417 1567 2054 2456 4476 5045 5960 6272 6297 7172 7215 7387 8634 8682 8767 8867 9215 9286 9691 9721 9764 9771 9793 9926 10114 10683 10972 11538 11992 12009 12370 12392 12821 13226 13272 13332 13396 13444 14088 14371 14424 14665 14730 14934 14950 15217 15467 15480 15654 15710 15914 16085 16100 16112	0 1 2 3 12 17 22 26 34 35 36 40 43 48 49
109	1.6451010047184145	5	20	ENSG00000119522|DENND1A ENSG00000120889|TNFRSF10B ENSG00000225697|SLC26A6 ENSG00000260528|FAM157C ENSG00000266028|SRGAP2	healthy-6620-p_6 healthy-6667-p_49 healthy-6743-p_63 healthy-6818-p_59 healthy-6884-p_64 healthy-6935-p_54 healthy-6960-p_32 pah-6660-p_13 pah-6744-p_2 pah-6858-p_7 pah-6872-p_4 pah-6942-p_9 ph-lung-6748-p_43 ph-lung-6755-p_1 ph-lung-6822-p_18 ph-lung-6912-p_65 ph-lung-6949-p_66 ph-lung-6952-p_36 ph-lung-6976-p_12 ph-lung-6980-p_26	DOWN		ENSG00000119522|DENND1A ENSG00000120889|TNFRSF10B ENSG00000225697|SLC26A6 ENSG00000260528|FAM157C ENSG00000266028|SRGAP2	1650 2074 2302 2799 10696	0 2 3 5 6 10 11 14 17 24 27 30 33 37 40 41 46 47 48 49
